Vulnerable Library,CVE Severity,Products Affected,Enterprises Exposed
lodash.template 4.5.0,High,8,1590806
handlebars 4.7.8,High,13,1554822
node-forge 1.3.1,High,12,1541811
svgo 2.8.0,High,8,1511034
loader-utils 1.2.3,High,3,1478878
body-parser 1.20.1,High,6,1477531
braces 2.3.2,High,13,1470615
nth-check 1.0.2,High,9,1469018
http-proxy-middleware 2.0.6,High,5,1441961
minimatch 3.0.4,High,12,1433778
trim 0.0.1,High,8,1426680
trim-newlines 1.0.0,High,6,1413464
serialize-javascript 6.0.1,High,6,1397298
d3-color 1.4.1,High,5,1380052
semver 6.3.0,High,5,1292795
semver 5.7.1,High,5,1166010
node-fetch 1.7.3,High,5,1163336
braces 1.8.5,High,7,1157515
ini 1.3.5,High,4,1120977
kind-of 6.0.2,High,4,1120977
body-parser 1.19.0,High,3,1118888
qs 6.7.0,High,3,1118888
websocket-extensions 0.1.3,High,3,1118888
hawk 3.1.3,High,5,1103000
hoek 2.16.3,High,5,1103000
debug 2.2.0,High,4,1096732
dot-prop 3.0.0,High,4,1096732
qs 6.4.0,High,4,1096732
mime 1.2.11,High,4,1094923
ansi-html 0.0.7,High,5,1072620
tar 2.2.2,High,3,1066557
async 2.6.3,High,2,1066313
ansi-regex 3.0.0,High,4,1058325
json5 1.0.1,High,4,1056655
loader-utils 1.4.0,High,4,1056655
path-to-regexp 1.7.0,High,3,1056236
path-to-regexp 8.2.0,High,2,1038656
y18n 3.2.1,High,5,1025547
json5 0.5.1,High,6,1024359
image-size 1.1.1,High,2,1024293
path-to-regexp 1.8.0,High,5,1008517
decode-uri-component 0.2.0,High,7,1008477
loader-utils 3.2.0,High,3,1002130
semver 7.0.0,High,2,1001991
html-minifier 3.5.21,High,4,993940
loader-utils 1.1.0,High,3,993101
nth-check 1.0.1,High,3,993101
ansi-regex 4.1.0,High,3,990949
glob-parent 5.1.1,High,3,990949
ip 1.1.5,High,3,990949
picomatch 2.2.2,High,3,990949
node-forge 0.10.0,High,3,989699
ansi-regex 5.0.0,High,2,988860
dns-packet 1.3.1,High,2,988860
json5 2.1.3,High,2,988860
next 15.5.9,High,2,988860
websocket-extensions 0.1.1,High,4,975124
underscore 1.12.1,High,4,973607
fstream 1.0.11,High,4,972972
tar 2.2.1,High,4,972972
forwarded 0.1.0,High,3,970883
fresh 0.5.0,High,3,970883
http-proxy 1.16.2,High,3,970883
ini 1.3.4,High,3,970883
mime 1.3.4,High,3,970883
tough-cookie 2.3.2,High,3,970883
lodash 4.17.4,High,2,964615
qs 2.3.3,High,2,964615
jsonpath 1.1.1,High,2,947786
path-to-regexp 8.3.0,High,8,946103
terser 4.8.0,High,3,945057
loader-utils 2.0.0,High,2,943519
semver-regex 2.0.0,High,2,943519
http-cache-semantics 4.1.0,High,2,942968
is-svg 2.1.0,High,3,942615
sshpk 1.11.0,High,2,942553
axios 0.21.4,High,5,940601
dot-prop 4.2.0,High,2,938374
lodash 4.17.11,High,2,938374
lodash.template 4.4.0,High,2,938374
mout 1.1.0,High,2,938374
ua-parser-js 0.7.22,High,2,936529
path-to-regexp 0.1.10,High,2,936424
@modelcontextprotocol/sdk 1.9.0,High,1,936285
ansi-html 0.0.5,High,1,936285
async 2.5.0,High,1,936285
axios 1.7.4,High,1,936285
axios 1.7.7,High,1,936285
base-x 3.0.10,High,1,936285
body-parser 1.18.2,High,1,936285
body-parser 1.19.2,High,1,936285
cached-path-relative 1.0.1,High,1,936285
cross-spawn 4.0.2,High,1,936285
debug 2.6.7,High,1,936285
debug 2.6.8,High,1,936285
dns-packet 1.2.2,High,1,936285
elliptic 6.4.0,High,1,936285
file-type 14.7.1,High,1,936285
fresh 0.3.0,High,1,936285
fstream 1.0.10,High,1,936285
html-minifier 3.2.3,High,1,936285
html-minifier 3.5.3,High,1,936285
html-minifier 3.5.6,High,1,936285
http-proxy-middleware 0.17.3,High,1,936285
http-proxy-middleware 0.17.4,High,1,936285
immutable 4.0.0-rc.12,High,1,936285
ip 1.1.9,High,1,936285
jpeg-js 0.1.2,High,1,936285
mime 1.3.6,High,1,936285
no-case 2.3.1,High,1,936285
node-forge 0.6.33,High,1,936285
normalize-url 4.5.0,High,1,936285
picomatch 2.3.0,High,1,936285
playwright 1.51.1,High,1,936285
qs 6.5.1,High,1,936285
querystringify 0.0.4,High,1,936285
querystringify 1.0.0,High,1,936285
react-dev-utils 3.1.1,High,1,936285
react-dev-utils 4.2.1,High,1,936285
requirejs 2.3.5,High,1,936285
sshpk 1.13.1,High,1,936285
tar-fs 2.1.2,High,1,936285
tar-fs 3.0.8,High,1,936285
urijs 1.18.12,High,1,936285
urijs 1.19.0,High,1,936285
urijs 1.19.6,High,1,936285
webpack-dev-middleware 1.12.0,High,1,936285
webpack-dev-middleware 1.12.2,High,1,936285
webpack-dev-middleware 1.9.0,High,1,936285
webpack-dev-server 1.16.2,High,1,936285
webpack-dev-server 2.11.3,High,1,936285
webpack-dev-server 2.7.1,High,1,936285
webpack-dev-server 2.9.4,High,1,936285
ws 3.3.2,High,1,936285
picomatch 4.0.3,High,12,787451
minimatch 9.0.5,High,11,698907
flatted 3.3.3,High,11,693420
picomatch 4.0.2,High,5,674920
angular 1.6.10,High,2,670532
glob 10.3.10,High,4,616868
webpack-dev-middleware 5.3.3,High,4,607603
angular 1.8.3,High,2,544745
@angular/common 19.1.7,High,1,540504
@angular/compiler 19.1.7,High,1,540504
@angular/core 19.1.7,High,1,540504
angular 1.5.11,High,1,540504
angular 1.7.9,High,1,540504
lite-server 2.6.1,High,1,540504
rollup 1.11.3,High,1,540504
minimatch 9.0.3,High,7,539385
minimatch 3.0.8,High,6,538499
flatted 3.3.1,High,4,530533
ip 2.0.0,High,4,515913
flatted 3.3.2,High,4,512099
serialize-javascript 5.0.1,High,3,506902
ws 8.13.0,High,4,505676
node-fetch 2.6.1,High,5,503797
jws 3.2.2,High,4,502027
socket.io-parser 4.2.4,High,6,501347
rack 3.2.1,High,2,462036
rollup 2.79.1,High,2,456523
flatted 3.2.9,High,4,455585
tar-fs 2.1.1,High,2,454327
minimatch 3.0.5,High,2,452657
cross-spawn 6.0.5,High,4,446378
ip 2.0.1,High,3,445364
