VendorName,Product,ProductId,TabKeyNewId,ProductSeries,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US
IBM,IBM IEBCOPY,3433,6074,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,352","5,526","1,141",495
Chicago-Soft,QuickRef,6224,4329,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,121","6,862",960,724
Chicago-Soft,QuickRef,6224,4329,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,121","6,862",960,724
HP Inc.,HP Performance Manager,5388,5119,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,064","3,678","2,323","1,041"
HP Inc.,HP Performance Manager,5388,5119,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,064","3,678","2,323","1,041"
ASG Software,ASG PRO/JCL,636,576,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,040","6,368",865,578
ASG Software,ASG PRO/JCL,636,576,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,040","6,368",865,578
SAP,SAP Data Integrator,1737,5454,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,004","4,811","1,617",964
SAP,SAP Data Integrator,1737,5454,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,004","4,811","1,617",964
Compuware Corporation,Compuware Hiperstation,3119,3069,IT Development/Infrastructure,IT Infrastructure & Ops Management,"7,420","6,313",606,397
Compuware Corporation,Compuware Hiperstation,3119,3069,IT Development/Infrastructure,IT Infrastructure & Ops Management,"7,420","6,313",606,397
CA Technologies,CA Capacity Manager,1075,4775,IT Development/Infrastructure,IT Infrastructure & Ops Management,"7,065","5,673",940,610
CA Technologies,CA Capacity Manager,1075,4775,IT Development/Infrastructure,IT Infrastructure & Ops Management,"7,065","5,673",940,610
Dynatrace LLC,Gomez,10779,10758,IT Development/Infrastructure,IT Infrastructure & Ops Management,"6,508","5,440",822,422
Dynatrace LLC,Gomez,10779,10758,IT Development/Infrastructure,IT Infrastructure & Ops Management,"6,508","5,440",822,422
Professional Systems Associates Inc.,CMPRO,1305,7100,IT Development/Infrastructure,IT Infrastructure & Ops Management,"6,457","5,854",755,506
Professional Systems Associates Inc.,CMPRO,1305,7100,IT Development/Infrastructure,IT Infrastructure & Ops Management,"6,457","5,854",755,506
IP Label,ip-label,15657,15636,IT Development/Infrastructure,IT Infrastructure & Ops Management,"6,450",723,887,135
IP Label,ip-label,15657,15636,IT Development/Infrastructure,IT Infrastructure & Ops Management,"6,450",723,887,135
Arena Solutions,Arena PLM,5519,4227,IT Development/Infrastructure,IT Infrastructure & Ops Management,"6,189","3,395","1,797",729
Arena Solutions,Arena PLM,5519,4227,IT Development/Infrastructure,IT Infrastructure & Ops Management,"6,189","3,395","1,797",729
FileWave,FileWave,4039,2587,IT Development/Infrastructure,IT Infrastructure & Ops Management,"5,844","4,054",752,405
FileWave,FileWave,4039,2587,IT Development/Infrastructure,IT Infrastructure & Ops Management,"5,844","4,054",752,405
Centerfield Technology,Centerfield Technology,1317,8198,IT Development/Infrastructure,IT Infrastructure & Ops Management,"5,810","4,844","2,853","2,506"
Centerfield Technology,Centerfield Technology,1317,8198,IT Development/Infrastructure,IT Infrastructure & Ops Management,"5,810","4,844","2,853","2,506"
CA Technologies,CA Teleview,1027,4760,IT Development/Infrastructure,IT Infrastructure & Ops Management,"5,675","4,593","2,118","1,811"
