VendorName,Product,ProductCategory,IsOpenSource,GitHubLink
NP6 Ltd,Ezakus,Data Management Platforms,No,
Cohesity,Cohesity DataProtect,Data Management Platforms,No,
Cohesity,Cohesity DataPlatform,Data Management Platforms,No,
Leadspace Inc.,Leadspace,Data Management Platforms,No,
1plusX AG,1plusX,Data Management Platforms,No,
Gator,GatorIO,Data Management Platforms,No,
Rtoaster,Rtoaster,Data Management Platforms,No,
Relay42,Relay42,Data Management Platforms,No,
AdThink,AdThink Media BIG,Data Management Platforms,No,
Enreach Group Inc.,Enreach,Data Management Platforms,No,
Mapp Digital US LLC,Mapp Acquire,Data Management Platforms,No,
Cohesity,Cohesity Helios,Data Management Platforms,No,
Geniee Inc.,GenieeDMP,Data Management Platforms,No,
The Trade Desk Inc,The Trade Desk,Demand Side Platforms,No,
MediaMath,MediaMath,Demand Side Platforms,No,
Simpli.fi,Simplifi,Demand Side Platforms,No,
StackAdapt,StackAdapt,Demand Side Platforms,No,
SiteScout,SiteScout,Demand Side Platforms,No,
DataXu,DataXu,Demand Side Platforms,No,
Beeswax,Bidder-as-a-Service (BaaS),Demand Side Platforms,No,
Centro Inc,Centro,Demand Side Platforms,No,
TubeMogul,TubeMogul,Demand Side Platforms,No,
Bidtellect,Bidtellect,Demand Side Platforms,No,
Tradelab Programmatic Platform,Tradelab,Demand Side Platforms,No,
MarketOne,MarketOne,Demand Side Platforms,No,
FreakOut,FreakOut,Demand Side Platforms,No,
Full Speed ​​Inc.,ADMATRIX DSP,Demand Side Platforms,No,
GMO Internet Inc.,GMO DSP,Demand Side Platforms,No,
Fiksu,Fiksu DSP,Demand Side Platforms,No,
GDM Digital (a Ve Interactive company),GDM Digital,Demand Side Platforms,No,
MicroAd,MicroAd Blade,Demand Side Platforms,No,
Geniee Inc.,GenieeDSP,Demand Side Platforms,No,
So-net Media Networks Corp.,Logicad,Demand Side Platforms,No,
Maverick. inc.,Maverick Sphere,Demand Side Platforms,No,
SpotXchange,SpotXchange,Digital Advertising,No,
Flashtalking Inc.,Flashtalking,Digital Advertising,No,
Adobe Systems Inc.,Adobe DTM,Digital Advertising,No,
Conversant,Conversant Header Bidding,Digital Advertising,No,
Flite,Flite,Digital Advertising,No,
Vizergy,Vizergy,Digital Advertising,No,
Index Exchange,Index Exchange Header Tag,Digital Advertising,No,
Influenster,Influenster,Digital Advertising,No,
district m,district m Header Bidding,Digital Advertising,No,
Flashtalking Inc.,Spongecell,Digital Advertising,No,
Sovrn Holdings Inc,Sovrn Header Suite,Digital Advertising,No,
RTB House,RTBHouse Header Bidding,Digital Advertising,No,
AdMarvel,AdMarvel,Digital Advertising,No,
CPX,CPX Interactive,Digital Advertising,No,
Aquantive,Aquantive,Digital Advertising,No,
Postano,Postano,Digital Advertising,No,
PubMatic,Pubmatic Header Bidding,Digital Advertising,No,
Adyoulike,Adyoulike Header Bidding,Digital Advertising,No,
TripleLift Inc,TripleLift Header Bidding,Digital Advertising,No,
Smart AdServer,Smart AdServer Header Bidding,Digital Advertising,No,
Sharethrough Inc,Sharethrough Header Bidding,Digital Advertising,No,
Media.net,Media.net Header Bidding,Digital Advertising,No,
Fidelity Media SSP,Fidelity Media Header Bidding,Digital Advertising,No,
PulsePoint,PulsePoint Header Bidding,Digital Advertising,No,
33across Inc.,33Across Header Bidding,Digital Advertising,No,
Sonobi Media,Sonobi Header Bidding,Digital Advertising,No,
Intercept Interactive Inc. d.b.a. Undertone,Undertone Header Bidding,Digital Advertising,No,
Verizon Media,One by AOL Super Auction,Digital Advertising,No,
TRUSTX,TrustX Header Bidding,Digital Advertising,No,
bRealTime,bRealtime Header Bidding,Digital Advertising,No,
AdKeeper,AdKeeper,Digital Advertising,No,
Dentsu Aegis Network,DAN Marketplace Header Bidding,Digital Advertising,No,
Unruly Group Limited,Unruly Header Bidding,Digital Advertising,No,
Improve Digital,360 Polaris Header Bidding,Digital Advertising,No,
NA,GumGum Header Bidding,Digital Advertising,No,
Sekindo,Sekindo Header Bidding,Digital Advertising,No,
Gamma SSP,Gamma SSP Header Bidding,Digital Advertising,No,
C1X Inc.,C1X Header Bidding,Digital Advertising,No,
Taboola,Taboola,Native Advertising,No,
Outbrain,Outbrain,Native Advertising,No,
Outbrain,Outbrain - Advertisers,Native Advertising,No,
TripleLift,TripleLift,Native Advertising,No,
NA,Nativo,Native Advertising,No,
Sharethrough Inc,Sharethrough SFP,Native Advertising,No,
Adyoulike,AdyouLike,Native Advertising,No,
Zemanta,Zemanta,Native Advertising,No,
Revcontent LLC,Revcontent,Native Advertising,No,
Leiki,Leiki,Native Advertising,No,
Perfect Market,Perfect Market,Native Advertising,No,
Native Ads Inc.,Native Ads,Native Advertising,No,
MGID,MGID,Native Advertising,No,
Adblade,Adblade,Native Advertising,No,
Popin,popIn,Native Advertising,No,
Connatix,Connatix,Native Advertising,No,
plista GmbH,Plista,Native Advertising,No,
dianomi,dianomi,Native Advertising,No,
DistroScale Inc.,Distroscale,Native Advertising,No,
ZergNet,Zergnet,Native Advertising,No,
blogadsde,blogadsde,Native Advertising,No,
DSPolitical,Blogads,Native Advertising,No,
Ligatus GmbH,Ligatus,Native Advertising,No,
LockerDome,Lockerdome,Native Advertising,No,
Outbrain,Outbrain Amplify,Native Advertising,No,
Newsmax Media Inc.,NewsMax Feed Network,Native Advertising,No,
Content.ad,Contentad,Native Advertising,No,
Adskeeper,AdsKeeper,Native Advertising,No,
Quantum Advertising,ElasticAd,Native Advertising,No,
Engageya,Engageya,Native Advertising,No,
Virool,Virool,Native Advertising,No,
PubExchange,PubExchange,Native Advertising,No,
Kixer Inc.,Kixer,Native Advertising,No,
Verizon Media,Gravity,Native Advertising,No,
Yahoo!,Yahoo! Recommends,Native Advertising,No,
Outbrain,Outbrain Automatic Yield,Native Advertising,No,
Ayboll,Ayboll,Native Advertising,No,
Newzmate,Newzmate,Native Advertising,No,
BoomAds,BoomAds,Native Advertising,No,
Earnify,Earnify,Native Advertising,No,
Speee Co. Ltd.,UZOU,Native Advertising,No,
Yavli,Yavli,Native Advertising,No,
Specific Media,Specific Media,Other Advertising Software,No,
Oath Inc.,AOL Advertising,Other Advertising Software,No,
Cloud Technologies SA,OnAudience Mailing Exchange,Other Advertising Software,No,
33across Inc.,33Across,Other Advertising Software,No,
ADITION technologies,ADITION Technologies,Other Advertising Software,No,
Luminate,Luminate,Other Advertising Software,No,
CyberAgent Inc ADR,CyberAgent,Other Advertising Software,No,
Criteo,HookLogic,Other Advertising Software,No,
AdsWizz,Adswizz,Other Advertising Software,No,
33across Inc.,Tynt,Other Advertising Software,No,
Scout Analytics,Scout Analytics,Other Advertising Software,No,
Underdog Media,Underdog Media,Other Advertising Software,No,
Xaxis LLC,Xaxis,Other Advertising Software,No,
Sourcepoint Technologies Inc,Sourcepoint Dialogue,Other Advertising Software,No,
ViewBix Inc.,Viewbix,Other Advertising Software,No,
Freestar,Freestar,Other Advertising Software,No,
Admeld,AdMeld,Other Advertising Software,No,
Traverse Data,Traverse Data,Other Advertising Software,No,
3XCHANGE,3XChange,Other Advertising Software,No,
Button,Button,Other Advertising Software,No,
Adomik,Adomik,Other Advertising Software,No,
United Online Inc.,United Online,Other Advertising Software,No,
Verizon Media,AlephD,Other Advertising Software,No,
