repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb,sbom_file,vuln_file,total_libraries,unique_libraries,syft_languages,syft_pkg_types,unique_lib_versions,vuln_lib_count,pct_libs_vulnerable,total_vulns,unique_cves,critical,high,medium,low,fixable,not_fixed,avg_cvss,max_cvss,avg_risk,max_risk,avg_epss,max_epss,grype_languages,grype_pkg_types,cwes,pct_fixable,pct_enterprises,active
https://github.com/Fantomas42/django-blog-zinnia,Django Blog Zinnia,Zinnia,Website Builders,2,0,2.0,0,2133.0,726.0,39.0,127.0,Python,2009-07-13T14:58:26Z,2026-03-25T15:35:12Z,2024-05-03 19:19:17+00:00,develop,BSD-3-Clause,False,7990.0,,,11.0,11.0,python,python,11.0,2.0,18.18,52.0,50.0,7.0,30.0,14.0,1.0,52.0,0.0,7.24,9.8,4.2,85.58,0.05,0.94,python,python,CWE-117; CWE-120; CWE-125; CWE-1333; CWE-20; CWE-203; CWE-22; CWE-252; CWE-276; CWE-295; CWE-345; CWE-407; CWE-494; CWE-665; CWE-680; CWE-770; CWE-787; CWE-79; CWE-835; CWE-89; CWE-918; CWE-94; CWE-95; NVD-CWE-Other,100.0,0.0,False
https://github.com/GetSimpleCMS/GetSimpleCMS,get-simple.info,GetSimple CMS,Web Content Management Systems,1250,812,548.0,186,418.0,120.0,322.0,59.0,PHP,2012-11-02T12:22:00Z,2026-03-12T08:45:14Z,2025-03-21 03:55:07+00:00,master,GPL-3.0,False,47173.0,,,11.0,7.0,,github-action,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,False
https://github.com/HotcakesCommerce/hotcakes-commerce-core,Arrow Digital,Hotcakes,E-Commerce Platform/Software,62,29,56.0,24,69.0,56.0,97.0,16.0,C#,2017-06-08T16:15:56Z,2025-07-09T05:46:44Z,2025-04-03 15:07:15+00:00,development,MIT,False,476944.0,,,396.0,252.0,dotnet,binary; dotnet,259.0,2.0,0.79,6.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,9.8,9.8,31.09,46.08,0.33,0.49,dotnet,dotnet,CWE-502; CWE-611,100.0,0.0,False
https://github.com/Icinga/icinga2,Icinga,Icinga,IT Infrastructure & Ops Management,45979,24644,13096.0,6677,2180.0,601.0,465.0,118.0,C++,2013-08-28T18:02:06Z,2026-03-27T09:22:04Z,2026-03-30 15:09:19+00:00,master,GPL-3.0,False,61690.0,,,13.0,10.0,,github-action; github-action-workflow,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.03,True
https://github.com/ImpressCMS/impresscms,ImpressCMS,ImpressCMS,Web Content Management Systems,22,3,21.0,2,29.0,32.0,57.0,9.0,PHP,2015-07-24T09:30:52Z,2026-03-28T09:07:02Z,2026-03-28 09:06:53+00:00,main,,False,80887.0,,,6.0,5.0,,github-action,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,False
https://github.com/Indexhibit/indexhibit,Indexhibit,Indexhibit,Web Content Management Systems,13,5,11.0,5,353.0,69.0,11.0,53.0,PHP,2016-06-07T21:06:00Z,2026-03-29T15:20:52Z,2024-03-27 09:33:50+00:00,master,,False,1866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,False
https://github.com/Jahia/jahia,Jahia,Jahia,Web Content Management Systems,19445,11016,4763.0,1712,48.0,34.0,0.0,21.0,Java,2016-07-12T14:46:07Z,2026-03-25T17:45:09Z,2026-03-25 17:45:05+00:00,master,,False,406774.0,,,964.0,881.0,java; javascript,github-action; github-action-workflow; java-archive; npm,954.0,45.0,5.11,81.0,73.0,9.0,38.0,28.0,6.0,72.0,9.0,6.99,9.8,9.52,98.7,0.12,0.94,java; javascript,github-action; java-archive; npm,CWE-1050; CWE-400; CWE-1321; CWE-1333; CWE-1333; CWE-400; CWE-172; CWE-792; CWE-178; CWE-20; CWE-208; CWE-22; CWE-250; NVD-CWE-Other; CWE-264; CWE-289; CWE-295; CWE-297; CWE-400; CWE-407; CWE-502; CWE-522; CWE-59; CWE-601; CWE-601; CWE-918; CWE-611; CWE-668; CWE-669; CWE-674; CWE-74; CWE-77; CWE-770; CWE-776; CWE-79; CWE-79; CWE-89; CWE-863; CWE-918; CWE-94; NVD-CWE-Other,88.89,0.01,False
https://github.com/LiveHelperChat/livehelperchat,Live Helper,Live Helper Chat,Live Chats,4427,843,2851.0,273,2205.0,736.0,136.0,170.0,PHP,2012-12-08T14:58:36Z,2026-03-30T13:50:06Z,2026-03-30 13:49:48+00:00,master,Apache-2.0,False,399400.0,,,2107.0,904.0,javascript; php,npm; php-composer,1040.0,16.0,1.77,60.0,22.0,0.0,27.0,23.0,10.0,59.0,1.0,6.4,8.9,0.02,0.06,0.0,0.0,javascript; php,npm; php-composer,CWE-1240; CWE-1321; CWE-1333; CWE-1333; CWE-400; CWE-184; CWE-20; CWE-327; CWE-400; CWE-407; CWE-59; CWE-674; CWE-754; CWE-835; CWE-918,98.33,0.01,True
https://github.com/MariaDB/server,MariaDB,MariaDB,Database Management,208073,109837,53532.0,15143,7381.0,2027.0,334.0,269.0,C++,2014-05-15T10:58:50Z,2026-03-30T17:35:50Z,2026-03-30 17:15:51+00:00,main,GPL-2.0,False,1630904.0,,,6.0,6.0,java,github-action; java-archive,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.13,True
https://github.com/MasaCMS/MasaCMS,Blue River Interactive Group,Mura CMS,Web Content Management Systems,44498,37694,9584.0,6424,79.0,37.0,24.0,20.0,ColdFusion,2021-07-26T18:21:53Z,2026-03-23T09:47:07Z,2025-12-08 12:40:01+00:00,main,GPL-2.0,False,88854.0,,,19.0,18.0,java; javascript,java-archive; npm,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.02,False
