repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb
https://github.com/contao/contao,contao.org,Contao,Web Content Management Systems,23575,1759,17985,341,420,169,431,34,PHP,2018-08-15T07:18:30Z,2026-03-30T16:02:48Z,2026-03-27T16:46:17Z,main,LGPL-3.0,False,138665
https://github.com/cubecart/v6,CubeCart,Commerce Software,Commerce Application,11286,10154,1688,986,74,57,7,16,PHP,2014-06-24T16:38:00Z,2026-03-25T20:19:18Z,2026-03-25T20:19:14Z,v6.5-master,,False,47980
https://github.com/cucumber/cucumber,Cucumber,Cucumber,Testing & QA,455703,303749,108710,53604,3349,683,45,212,,2015-06-21T04:37:35Z,2026-03-29T18:25:25Z,2026-03-11T16:37:58Z,main,MIT,False,129995
https://github.com/cucumber/cucumber-js,Cucumber,Cucumberjs,Testing & QA,455703,303749,108710,53604,5300,1108,53,203,TypeScript,2011-05-27T21:27:17Z,2026-03-30T07:32:08Z,2026-03-28T07:05:28Z,main,MIT,False,30053
https://github.com/d3/d3,Data Driven Documents,D3js,Charting,310035,162557,100961,40373,112654,22782,30,3555,Shell,2010-09-27T17:22:42Z,2026-03-30T16:08:41Z,2025-12-02T17:48:19Z,main,ISC,False,59349
https://github.com/dart-lang/sdk,Dart,Dart,Programming Languages,63273,28693,17552,9385,11095,1787,8394,292,Dart,2015-05-16T14:14:58Z,2026-03-30T17:14:10Z,2026-03-30T17:16:13Z,main,BSD-3-Clause,False,1592006
https://github.com/datawrapper/datawrapper,Settings,Datawrapper,Charting,10710,6237,4801,2027,1435,278,75,76,TypeScript,2012-07-06T08:54:49Z,2026-03-27T13:49:51Z,2025-03-30T20:06:30Z,main,,False,39960
https://github.com/discourse/discourse,Civilized Discourse Construction Kit Inc.,Discourse,Software as a Service,15417,6701,9443,2777,46653,8861,160,881,Ruby,2013-01-12T00:25:55Z,2026-03-30T17:48:35Z,2026-03-30T17:48:31Z,main,GPL-2.0,False,876247
https://github.com/django-cms/django-cms,Divio AG,django CMS,Web Content Management Systems,9434,7041,2017,1172,10640,3196,18,384,Python,2009-03-05T10:14:18Z,2026-03-30T14:41:17Z,2026-03-30T15:47:58Z,main,NOASSERTION,False,117171
https://github.com/django/django,Django Software Foundation,Django,Frameworks & Libraries,122791,49965,60198,18814,87124,33810,422,2246,Python,2012-04-28T02:47:18Z,2026-03-30T17:11:35Z,2026-03-30T16:55:55Z,main,BSD-3-Clause,False,278208
https://github.com/dokuwiki/dokuwiki,dokuwiki.org,DokuWiki,Other Web Tools & Plugins,77947,45478,39725,18050,4593,911,502,176,PHP,2010-01-03T13:47:20Z,2026-03-30T05:04:20Z,2026-03-25T07:57:19Z,master,GPL-2.0,False,44924
https://github.com/dotCMS/core,dotCMS,dotCMS,Web Content Management Systems,34906,26273,6867,4256,940,480,837,83,Java,2012-03-15T15:24:14Z,2026-03-30T17:13:39Z,2026-03-30T17:49:44Z,main,NOASSERTION,False,1127298
https://github.com/dotclear/dotclear,dotclear.org,Dotclear,Other Web Tools & Plugins,328,4,218,4,44,21,0,7,PHP,2017-11-02T17:45:08Z,2026-03-30T12:31:20Z,2026-03-30T12:31:15Z,master,AGPL-3.0,False,318066
https://github.com/dotnet/aspnetcore,Microsoft,ASP.NET,Programming Languages,3033463,1457663,1241462,445644,37803,10620,3854,1412,C#,2014-03-11T06:09:42Z,2026-03-30T14:42:52Z,2026-03-30T14:25:57Z,main,MIT,False,376063
https://github.com/dotnet/fsharp,The F# Software Foundation,F#,Programming Languages,41718,24405,9962,4069,4273,852,1287,171,F#,2015-01-10T05:58:43Z,2026-03-30T17:04:06Z,2026-03-30T17:04:01Z,main,MIT,False,411122
https://github.com/dotwaffle/rancid-git,Shrubbery Networks Inc,Shrubbery Networks RANCID,Software Configuration Management,35,0,8,0,218,85,10,47,Makefile,2009-01-27T22:49:44Z,2025-09-20T00:55:49Z,2018-05-16T16:52:56Z,master,NOASSERTION,True,2999
https://github.com/dovecot/core,Dovecot,Mail Server,Other IT Development/Infrastructure,9355,2349,2891,779,1189,331,11,63,C,2015-12-09T12:39:30Z,2026-03-30T17:00:11Z,2026-03-30T17:00:05Z,main,NOASSERTION,False,183395
https://github.com/drupal/drupal,Open Source,Drupal,Web Content Management Systems,845239,477671,268561,109325,4257,1963,0,402,PHP,2009-01-04T13:53:32Z,2026-03-30T17:10:43Z,2026-03-30T17:10:38Z,main,,False,418051
https://github.com/drupalcommerce/commerce,Open Source,Drupal Comm,Commerce Application,28396,11142,8502,2876,353,252,32,69,PHP,2014-07-01T15:05:51Z,2025-11-30T01:41:26Z,2020-10-06T10:56:55Z,8.x-2.x,,False,7943
https://github.com/e107inc/e107,e107,e107,Web Content Management Systems,9200,8851,660,424,329,211,706,63,PHP,2012-11-16T19:49:01Z,2026-03-30T15:27:06Z,2026-02-20T22:44:28Z,master,GPL-3.0,False,94589
https://github.com/easymock/easymock,EasyMock,EasyMock,Frameworks & Libraries,47393,33463,12200,7726,829,310,65,57,HTML,2013-06-10T22:26:09Z,2026-03-25T04:18:01Z,2026-03-30T02:04:01Z,master,,False,12473
https://github.com/eclipse-ee4j/glassfish,Sun Microsystems,GlassFish,Server,87026,59825,15250,6211,435,170,92,39,Java,2018-09-15T08:59:52Z,2026-03-25T15:48:40Z,2026-03-25T16:04:22Z,main,NOASSERTION,False,4252632
https://github.com/elcodi/elcodi,Elcodi,Elcodi,E-Commerce Platform/Software,1,0,1,0,421,77,37,39,PHP,2014-04-03T17:26:10Z,2026-03-17T10:08:00Z,2016-08-05T13:38:39Z,master,MIT,True,16071
https://github.com/emacs-mirror/emacs,EMACS,EMACS,Application Development Tools,1050,685,290,166,4996,1360,18,279,Emacs Lisp,2014-08-07T06:58:17Z,2026-03-30T17:15:41Z,2026-03-30T17:15:36Z,master,GPL-3.0,False,1591375
https://github.com/emberjs/ember.js,Tilde,Emberjs,Frameworks & Libraries,103249,78595,18683,11136,22574,4195,399,817,TypeScript,2011-05-25T23:39:40Z,2026-03-30T14:15:40Z,2026-03-30T14:50:33Z,main,MIT,False,109766
https://github.com/erlang/otp,Ericsson,Erlang,Programming Languages,3607,1142,731,310,12087,3060,531,487,Erlang,2009-11-16T17:17:57Z,2026-03-30T16:35:43Z,2026-03-30T16:35:33Z,master,Apache-2.0,False,620552
https://github.com/ethereum/go-ethereum,Ethereum Foundation (Stiftung Ethereum),Ethereum,Blockchain,150569,81218,31271,15925,50963,21885,385,2201,Go,2013-12-26T13:05:46Z,2026-03-30T14:48:46Z,2026-03-30T15:22:30Z,master,LGPL-3.0,False,234032
https://github.com/eucalyptus/eucalyptus,Eucalyptus Systems,Eucalyptus Systems,Infrastructure as a Service,26227,19722,3058,1386,861,264,0,113,Java,2011-05-24T20:36:49Z,2026-03-17T07:08:36Z,2021-07-21T20:42:24Z,master,NOASSERTION,True,115651
https://github.com/expressjs/express,Node.js,Express,Frameworks & Libraries,277280,182809,57791,25778,68883,22961,198,1675,JavaScript,2009-06-26T18:56:01Z,2026-03-30T17:07:07Z,2026-03-01T13:55:02Z,master,MIT,False,9726
https://github.com/ezsystems/ezplatform,eZ Systems AS,eZ Platfrom,Web Content Management Systems,53,6,23,5,326,147,19,49,Shell,2015-02-26T11:12:45Z,2026-03-14T20:59:53Z,2023-12-04T12:47:20Z,master,NOASSERTION,False,13991
https://github.com/facebook/hhvm,FACEBOOK,HHVM,Application Development Tools,667,194,444,95,18615,3079,535,987,C++,2010-01-02T01:17:06Z,2026-03-30T16:36:50Z,2026-03-30T16:36:42Z,master,NOASSERTION,False,873797
https://github.com/facebook/react,FACEBOOK,React,Frameworks & Libraries,1955076,995571,936285,389642,244256,50862,1190,6662,JavaScript,2013-05-24T16:15:54Z,2026-03-30T17:39:16Z,2026-03-30T17:07:34Z,main,MIT,False,951122
https://github.com/facebook/react-native,FACEBOOK,React Native,Frameworks & Libraries,382214,243941,88008,37347,125653,25128,1277,3547,C++,2015-01-09T18:10:16Z,2026-03-30T16:47:07Z,2026-03-30T17:50:08Z,main,MIT,False,963581
https://github.com/flot/flot,Flot Charts,Flot,Charting,22516,9767,9714,5977,5921,1545,631,268,JavaScript,2011-01-26T15:48:51Z,2026-03-25T11:09:07Z,2023-11-08T19:56:18Z,master,MIT,False,4711
https://github.com/fluxbb/fluxbb,fluxbb.org,FluxBB,Software as a Service,15,1,15,1,543,191,13,40,PHP,2010-07-31T11:36:33Z,2026-03-28T11:04:38Z,2023-03-06T17:59:36Z,master,GPL-2.0,False,10671
https://github.com/formspree/formspree,FORMSPREE,Formspree,Application Development Tools,3939,1851,2846,1013,2756,256,15,63,Python,2014-12-12T23:20:09Z,2026-03-18T04:52:55Z,2023-05-22T22:49:02Z,master,NOASSERTION,True,2971
