Library Name,Versions Found,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
cipher-base,"1.0.4, 1.0.6, 1.0.7",12,"Bolt, CloudStack, Ghost, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, OrientDB, React, Shopware, WooCommerce",1450080,1,Critical,6,0,0,0,Yes
elliptic,"6.4.0, 6.4.1, 6.5.3, 6.5.4, 6.5.5, 6.6.1",12,"Bolt, CloudStack, Ghost, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, OrientDB, React, Shopware, WooCommerce",1450080,8,Critical,7,2,3,50,Partial
simple-git,"3.21.0, 3.28.0, 3.33.0",4,"CKEditor, Ravenjs, React, WooCommerce",1425607,1,Critical,1,0,0,0,Yes
jackson-databind,"2.10.1, 2.13.2.1, 2.13.3, 2.13.4.2, 2.13.5, 2.15.0, 2.15.1, 2.15.2, 2.15.4, 2.16.0, 2.18.0, 2.18.1, 2.18.2, 2.18.6, 2.19.0, 2.19.2, 2.21.1, 2.21.2, 2.4.0, 2.6.7.5, @jackson.version@, UNKNOWN",34,"Alluxio, Apache Accumulo, Apache Ambari, Apache Drill, Apache Flink, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Kylin, Apache NiFi, Apache Oozie, Apache Phoenix, Apache Spark, Apache Spark Streaming, Apache Storm, Apache YARN, Apache Zookeeper, Cask Data Application Platform, CloudStack, Druid, GlassFish, GridGain, Hbase, Hive, JBoss Enterprise Application Server  EAS , Jahia, Jetty, Liferay, Neo4j, Presto, Weka, XWiki, ZK, dotCMS",1348450,50,Critical,35,59,2,0,Yes
morgan,"1.10.0, 1.10.1, 1.8.1, 1.9.1",18,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, CKEditor, Discourse, Emberjs, Ghost, Hbase, Less, Liferay, Node js, Ravenjs, dotCMS",1266660,1,Critical,2,0,0,0,Yes
next,"14.0.4, 14.1.3, 14.2.16, 14.2.35, 15.2.1, 15.5.10, 15.5.12, 15.5.9, 16.2.1",8,"Apollo Client, Liferay, Quill, Ravenjs, React, Shopsys Framework, SpreeCommerc, dotCMS",1119032,14,Critical,5,11,42,7,Yes
jetty-server,"10.0.24, 11.0.24, 11.0.25, 12.0.30, 12.1.6, 12.1.7, 12.1.8-SNAPSHOT, 8.1.8.v20121106, 9.2.10.v20150310, 9.4.44.v20210927, 9.4.46.v20220331, 9.4.51.v20230217, 9.4.53.v20231009, 9.4.56.v20240826, 9.4.57.v20241219, 9.4.58.v20250814, UNKNOWN",28,"Alluxio, Apache Accumulo, Apache Ambari, Apache Drill, Apache Flume, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Kylin, Apache NiFi, Apache Oozie, Apache Phoenix, Apache Spark, Apache Spark Streaming, Apache Storm, Apache Trafodion, Apache YARN, Apache Zookeeper, Cask Data Application Platform, CloudStack, Druid, GridGain, Hive, JBoss Enterprise Application Server  EAS , Jetty, Liferay, Neo4j, Vaadin",1099507,16,Critical,4,13,15,6,Yes
@xmldom/xmldom,"0.7.9, 0.8.10, 0.8.11, 0.8.12, 0.8.2, 0.8.3, 0.9.5, 0.9.8",12,"Angular Material, AngularJS, Commerce Software, Discourse, Emberjs, Ghost, JetPack, Liferay, Ravenjs, React Native, Thelia, Zabbix",1093332,1,Critical,3,0,0,0,Yes
avro,"1.11.0, 1.11.1, 1.11.4, 1.11.5, 1.12.0, 1.12.1, 1.7.3, 1.7.4, 1.8.2, UNKNOWN",20,"Apache Ambari, Apache Drill, Apache Flink, Apache Flume, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache MINA, Apache NiFi, Apache Oozie, Apache Spark, Apache Spark Streaming, Apache Storm, Apache Trafodion, Apache YARN, Cask Data Application Platform, Druid, Hive, JBoss Enterprise Application Server  EAS , Presto",1036195,2,Critical,6,6,0,0,Yes
babel-traverse,"6.23.1, 6.24.1, 6.26.0",7,"Apache Ambari, Ghost, Liferay, LocomotiveCMS, Neos, OrientDB, React",1029602,1,Critical,7,0,0,0,No
