Library Name,Version,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
spring-webmvc,4.1.9.RELEASE,1,Liferay,52575,2,Critical,1,1,0,0,Partial
underscore,1.9.1,1,Liferay,52575,2,Critical,1,1,0,0,Yes
commons-collections,3.2.1,3,"Apache Ambari, Apache Giraph, GlassFish",44061,2,Critical,3,3,0,0,Yes
google.golang.org/grpc,v1.71.1,1,Swarm,43748,1,Critical,1,0,0,0,Yes
google.golang.org/grpc,v1.75.0,1,Swarm,43748,1,Critical,1,0,0,0,Yes
elliptic,6.5.5,1,Meteor,42359,7,Critical,1,0,0,6,Partial
growl,1.9.2,3,"Apache Ambari, Apache Tez, Ghost",40436,1,Critical,3,0,0,0,Yes
underscore,1.8.3,3,"Apache Ambari, Apache Tez, Ghost",40436,2,Critical,3,3,0,0,Yes
dompurify,2.4.0,1,Commerce Software,35570,5,Critical,1,2,2,0,Yes
fast-xml-parser,5.0.9,1,Commerce Software,35570,6,Critical,1,3,1,1,Yes
maildev,2.1.0,1,Commerce Software,35570,1,Critical,1,0,0,0,No
lodash,3.7.0,2,"Apache Ambari, Apache Tez",34598,5,Critical,2,6,2,0,Yes
morgan,1.8.1,2,"Apache Ambari, Apache Tez",34598,1,Critical,2,0,0,0,Yes
uglify-js,2.3.6,2,"Apache Ambari, Apache Tez",34598,2,Critical,2,2,0,0,Yes
xmldom,0.1.27,2,"Apache Ambari, Apache Tez",34598,3,Critical,2,0,4,0,Partial
zookeeper,3.5.5,2,"Alluxio, Apache Ambari",30482,1,Critical,2,0,0,0,Yes
avro,1.7.4,2,"Apache Ambari, Apache MINA",29037,2,Critical,2,2,0,0,Yes
jackson-mapper-asl,1.9.2,2,"Apache Ambari, Apache Giraph",28811,2,Critical,2,2,0,0,No
babel-traverse,6.24.1,1,Apache Ambari,28330,1,Critical,1,0,0,0,No
c3p0,[0.9.5.4],1,Apache Ambari,28330,3,Critical,1,2,0,0,Yes
deep-extend,0.2.11,1,Apache Ambari,28330,1,Critical,1,0,0,0,Yes
form-data,0.2.0,1,Apache Ambari,28330,1,Critical,1,0,0,0,Yes
fsevents,0.3.0,1,Apache Ambari,28330,1,Critical,1,0,0,0,Yes
fsevents,0.3.8,1,Apache Ambari,28330,1,Critical,1,0,0,0,Yes
h2,1.4.193,1,Apache Ambari,28330,2,Critical,2,0,0,0,Yes
hadoop-common,2.2.0,1,Apache Ambari,28330,9,Critical,3,3,2,1,Yes
hadoop-common,2.7.7,1,Apache Ambari,28330,6,Critical,3,2,0,1,Yes
handlebars,1.0.12,1,Apache Ambari,28330,6,Critical,3,2,1,0,Yes
handlebars,2.0.0,1,Apache Ambari,28330,6,Critical,3,2,1,0,Yes
handlebars,4.0.6,1,Apache Ambari,28330,12,Critical,4,7,1,0,Yes
jackson-databind,2.4.0,1,Apache Ambari,28330,48,Critical,19,27,2,0,Yes
java-xmlbuilder,0.4,1,Apache Ambari,28330,1,Critical,1,0,0,0,Yes
lodash,4.16.6,1,Apache Ambari,28330,8,Critical,1,3,4,0,Yes
netty,3.7.0.Final,1,Apache Ambari,28330,10,Critical,1,3,6,0,Partial
nimbus-jose-jwt,5.9,1,Apache Ambari,28330,3,Critical,1,1,1,0,Yes
spring-beans,3.1.2.RELEASE,1,Apache Ambari,28330,2,Critical,1,1,0,0,Yes
spring-beans,4.0.5.RELEASE,1,Apache Ambari,28330,2,Critical,1,1,0,0,Yes
spring-security-web,6.0.8,1,Apache Ambari,28330,2,Critical,2,0,0,0,Partial
spring-web,4.0.5.RELEASE,1,Apache Ambari,28330,7,Critical,1,3,3,0,Partial
spring-webmvc,4.0.5.RELEASE,1,Apache Ambari,28330,3,Critical,1,1,1,0,Partial
uglify-js,1.3.2,1,Apache Ambari,28330,2,Critical,1,1,0,0,Yes
avro,1.11.1,1,Apache Flume,28178,2,Critical,1,1,0,0,Yes
hadoop-common,3.2.2,1,Apache Flume,28178,4,Critical,3,0,0,1,Yes
